Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
TRV,The Travelers Companies Inc,224.61,-0.92,-0.41%,225.64,224.325,11770,09:44 ET
TSCO,Tractor Supply Company,259.36,0.68,0.26%,259.15,258.01,7577,09:44 ET
TSLA,Tesla Inc,182.95,10.32,5.98%,179.8199,178.05,7431301,09:46 ET
TSN,Tyson Foods,58.47,0.02,0.03%,58.595,58.36,15442,09:45 ET
TT,Trane Technologies Plc,300.64,1.01,0.34%,299,299,5299,09:45 ET
TTWO,Take-Two Interactive,147.04,0.9,0.62%,148.7,147.135,51161,09:45 ET
TXN,Texas Instruments,171.7,0.85,0.50%,171.48,170.87,39703,09:46 ET
TXT,Textron Inc,95.9,0.18,0.19%,95.82,95.7999,9343,09:46 ET
TYL,Tyler Technologies,420.26,0.01,0.00%,420,417.38,1986,09:41 ET
UAL,United Airlines Holdings Inc,45.23,0.34,0.76%,45.2,44.97,166306,09:46 ET
UBER,Uber Technologies Inc,78.81,-0.6,-0.76%,80.18,79.61,187845,09:46 ET
UDR,United Dominion Realty Trust,36.78,-0.1,-0.27%,36.94,36.79,7111,09:46 ET
UHS,Universal Health Services,177.75,-0.1,-0.06%,177.975,177.4,4043,09:44 ET
ULTA,Ulta Beauty Inc,511.41,5.84,1.16%,507.5,505,16550,09:46 ET
UNH,Unitedhealth Group Inc,488.39,2.51,0.52%,488.13,485.98,71775,09:46 ET
UNP,Union Pacific Corp,243.37,-0.48,-0.20%,244.1,243.39,33893,09:45 ET
UPS,United Parcel Service,152.38,-4.19,-2.68%,157.99,157.11,139980,09:46 ET
URI,United Rentals,709.3,4.86,0.69%,707.01,706.34,3684,09:45 ET
USB,U.S. Bancorp,43.9,0.35,0.80%,44,43.82,101320,09:46 ET
V,Visa Inc,278.61,-2.6,-0.92%,284.13,282.7,149350,09:46 ET
VFC,V.F. Corp,14.61,0.14,0.97%,14.8199,14.62,139719,09:46 ET
VICI,Vici Properties Inc,28.94,0.12,0.42%,28.875,28.79,57627,09:46 ET
VLO,Valero Energy Corp,169.16,0.67,0.40%,169.915,168.7,208211,09:46 ET
VLTO,Veralto Corporation,89.9,0.5,0.56%,89.36,89.36,437,09:45 ET
VMC,Vulcan Materials Company,273.76,1.14,0.42%,272.66,272.66,4627,09:46 ET
VRSK,Verisk Analytics Inc,231.56,-0.44,-0.19%,232.18,231.545,8530,09:46 ET
VRSN,Verisign Inc,187.46,0.27,0.14%,187.21,187.12,2882,09:46 ET
VRTX,Vertex Pharmaceutic,416.71,0.68,0.16%,417.38,417,13108,09:46 ET
VTR,Ventas Inc,42.8,0.15,0.35%,42.79,42.65,13032,09:45 ET
VTRS,Viatris Inc,11.88,0.05,0.42%,11.945,11.85,198553,09:46 ET
VZ,Verizon Communications Inc,40.75,-0.12,-0.29%,40.87,40.8,1015474,09:46 ET
WAB,Wabtec Corp,143.03,0.2,0.14%,142.59,141.85,6169,09:44 ET
WAT,Waters Corp,343.21,0.49,0.14%,343.03,343.03,1600,09:43 ET
WBA,Walgreens Boots Alliance,20.45,-0.18,-0.87%,20.54,20.2907,681934,09:46 ET
WBD,Discovery Inc Series A,8.4,-0.06,-0.71%,8.5295,8.4718,428203,09:46 ET
WDC,Western Digital Cp,67.42,2.44,3.76%,67.005,65.54,325574,09:46 ET
WEC,Wisconsin Energy Corp,79.91,0.01,0.01%,79.91,79.84,16431,09:45 ET
WELL,Welltower Inc,92.03,0.76,0.83%,91.55,91.33,14711,09:45 ET
WFC,Wells Fargo & Company,56.8,0.07,0.12%,57.15,56.95,281728,09:46 ET
WM,Waste Management,211.68,-0.09,-0.04%,211.72,211.3801,97157,09:46 ET
WMB,Williams Companies,38.22,0.01,0.03%,38.25,38.2,38099,09:46 ET
WMT,Walmart Inc,60.68,0.11,0.18%,60.48,60.23,317731,09:46 ET
WRB,W.R. Berkley Corp,86.6,-0.12,-0.14%,86.42,86.21,9274,09:44 ET
WRK,Westrock Company,48.93,0.24,0.49%,49.16,49.04,45003,09:45 ET
